ga68 	0.000E+00
ga69 	0.105E-06
ga70 	0.000E+00
ga71 	0.256E-07
ga72 	0.000E+00
ga73 	0.000E+00
ge64 	0.000E+00
ge65 	0.000E+00
ge66 	0.000E+00
ge67 	0.000E+00
ge68 	0.000E+00
ge69 	0.000E+00
ge70 	0.841E-06
ge71 	0.000E+00
ge72 	0.565E-07
ge73 	0.709E-09
ge74 	0.200E-07
